article_id,journal_key,journal_title_config,journal_title_crossref,publisher_family,article_url,doi,year,publication_date,volume,issue_number,pages,title,authors,article_type,crossref_subjects,abstract_text,n_keywords,keyword_extraction_status,keyword_source
10.1037/0033-3204.42.1.14,psychotherapy,Psychotherapy,"Psychotherapy: Theory, Research, Practice, Training",apa,https://doi.apa.org/doi/10.1037/0033-3204.42.1.14,10.1037/0033-3204.42.1.14,2005,2005,42,1,14-16,Cultural Sensitivity in Conventional Psychotherapy: A Comment On Martínez-Taboas (2005).,David R. Castro-Blanco,journal-article,,,0,no_keywords_found,
10.1037/0033-3204.42.1.52,psychotherapy,Psychotherapy,"Psychotherapy: Theory, Research, Practice, Training",apa,https://doi.apa.org/doi/10.1037/0033-3204.42.1.52,10.1037/0033-3204.42.1.52,2005,2005,42,1,52-71,Effectiveness of Psychological Interventions for Child Maltreatment: A Meta-Analysis.,Elizabeth Skowron; Dawn H. S. Reinemann,journal-article,,,0,no_keywords_found,
10.1037/0033-3204.42.4.512,psychotherapy,Psychotherapy,"Psychotherapy: Theory, Research, Practice, Training",apa,https://doi.apa.org/doi/10.1037/0033-3204.42.4.512,10.1037/0033-3204.42.4.512,2005,2005,42,4,512-531,Evaluating alliance-focused intervention for potential treatment failures: A feasibility study and descriptive analysis.,Jeremy D. Safran; J. Christopher Muran; Lisa Wallner Samstag; Arnold Winston,journal-article,,,0,no_keywords_found,
10.1037/0033-3204.42.3.384,psychotherapy,Psychotherapy,"Psychotherapy: Theory, Research, Practice, Training",apa,https://doi.apa.org/doi/10.1037/0033-3204.42.3.384,10.1037/0033-3204.42.3.384,2005,2005,42,3,384-394,Preventing Role Slippage During Work in the Community: Guidelines for New Psychologists and Supervisees.,Jeanne M. Slattery,journal-article,,,0,no_keywords_found,
10.1037/0033-3204.42.2.232,psychotherapy,Psychotherapy,"Psychotherapy: Theory, Research, Practice, Training",apa,https://doi.apa.org/doi/10.1037/0033-3204.42.2.232,10.1037/0033-3204.42.2.232,2005,2005,42,2,232-235,Complementary and Alternative Therapy Use by Psychotherapy Clients.,Gary Elkins; Joel Marcus; M. Hasan Rajab; Suresh Durgam,journal-article,,,0,no_keywords_found,
10.1037/0033-3204.42.4.532,psychotherapy,Psychotherapy,"Psychotherapy: Theory, Research, Practice, Training",apa,https://doi.apa.org/doi/10.1037/0033-3204.42.4.532,10.1037/0033-3204.42.4.532,2005,2005,42,4,532-545,Evaluating an alliance-focused treatment for personality disorders.,J. Christopher Muran; Jeremy D. Safran; Lisa Wallner Samstag; Arnold Winston,journal-article,,,0,no_keywords_found,
10.1037/0033-3204.42.3.357,psychotherapy,Psychotherapy,"Psychotherapy: Theory, Research, Practice, Training",apa,https://doi.apa.org/doi/10.1037/0033-3204.42.3.357,10.1037/0033-3204.42.3.357,2005,2005,42,3,357-373,Psychological Treatment of Musical Performance Anxiety: Current Status and Future Directions.,Anne M. McGinnis; Leonard S. Milling,journal-article,,,0,no_keywords_found,
10.1037/0033-3204.42.2.225,psychotherapy,Psychotherapy,"Psychotherapy: Theory, Research, Practice, Training",apa,https://doi.apa.org/doi/10.1037/0033-3204.42.2.225,10.1037/0033-3204.42.2.225,2005,2005,42,2,225-231,Ratings of Therapist Dynamic Activities and Alliance Early and Late in Psychotherapy.,Steven J. Ackerman; Mark J. Hilsenroth; Eric S. Knowles,journal-article,,,0,no_keywords_found,
10.1037/0033-3204.42.3.311,psychotherapy,Psychotherapy,"Psychotherapy: Theory, Research, Practice, Training",apa,https://doi.apa.org/doi/10.1037/0033-3204.42.3.311,10.1037/0033-3204.42.3.311,2005,2005,42,3,311-323,Critical Incidents in the Formation of the Therapeutic Alliance from the Client's Perspective.,Robinder P. Bedi; Michael D. Davis; Meris Williams,journal-article,,,0,no_keywords_found,
10.1037/0033-3204.42.3.400,psychotherapy,Psychotherapy,"Psychotherapy: Theory, Research, Practice, Training",apa,https://doi.apa.org/doi/10.1037/0033-3204.42.3.400,10.1037/0033-3204.42.3.400,2005,2005,42,3,400-400,"""Preserving our humanity as therapists"": Correction to McWilliams (2005).",Nancy McWilliams,journal-article,,,0,no_keywords_found,
